,Year,Artist(s),Title,Lead Artist(s),latitude,longitude,location,song_type_0,song_type_1,song_type_2,song_discovery,acousticness,danceability,duration,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
106,1973,Helen Reddy,Peaceful,Helen Reddy,-37.816667,144.966667,"melbourne, australia",studio,electric,vocal,0.0,0.202352,0.498093,170.33333,0.327027,4e-06,7,0.147576,-14.001,1,0.029726,139.568,0.48791
107,1973,Blue Ridge Rangers,Jambalaya (On the Bayou),Blue Ridge Rangers,,,,,,,,,,,,,,,,,,,
108,1974,Aretha Franklin,Until You Come Back to Me (Thats What Im Gonna Do),Aretha Franklin,,,,,,,,,,,,,,,,,,,
109,1974,Jim Stafford,Spiders and Snakes,Jim Stafford,,,,,,,,,,,,,,,,,,,
110,1974,Paul McCartney & Wings,Band on the Run,Paul McCartney & Wings,,,,,,,,,,,,,,,,,,,
111,1974,The Hues Corporation,Rock the Boat,The Hues Corporation,,,,,,,,,,,,,,,,,,,
112,1974,Carly Simon & James Taylor,Mockingbird,Carly Simon & James Taylor,,,,,,,,,,,,,,,,,,,
113,1974,Paul McCartney & Wings,Jet,Paul McCartney & Wings,,,,,,,,,,,,,,,,,,,
114,1974,Donny,Im Leaving It Up to You,Donny,,,,,,,,,,,,,,,,,,,
115,1974,The Guess Who,Clap for the Wolfman,The Guess Who,,,,,,,,,,,,,,,,,,,
116,1974,Sister Janet Mead,The Lords Prayer,Sister Janet Mead,,,,,,,,,,,,,,,,,,,
117,1974,Diana Ross & Marvin Gaye,My Mistake (Was to Love You),Diana Ross & Marvin Gaye,,,,,,,,,,,,,,,,,,,
118,1974,Paul McCartney & Wings,Helen Wheels,Paul McCartney & Wings,,,,,,,,,,,,,,,,,,,
119,1974,Jim Stafford,Wildwood Weed,Jim Stafford,,,,,,,,,,,,,,,,,,,
120,1974,The First Class,Beach Baby,The First Class,,,,,,,,,,,,,,,,,,,
121,1975,Minnie Riperton,Lovin You,Minnie Riperton,41.88531,-87.62213,"Chicago, IL",acoustic,studio,vocal,0.0,0.925647,0.485008,197.08,0.322448,1e-06,9,0.105882,-7.357,1,0.036453,123.557,0.343732
122,1975,Bazuka,Dynomite,Bazuka,,,,,,,,,,,,,,,,,,,
123,1975,Paul Anka & Odia Coates,One Man Woman/One Woman Man,Paul Anka & Odia Coates,,,,,,,,,,,,,,,,,,,
124,1975,Donny & Marie Osmond,Morning Side of the Mountain,Donny & Marie Osmond,,,,,,,,,,,,,,,,,,,
125,1975,Grand Funk Railroad,Some Kind of Wonderful,Grand Funk Railroad,43.0026,-83.7826,"Flint, MI, US",electric,vocal,,0.0,0.098487,0.534892,238.4,0.636649,1e-06,2,0.74055,-7.703,1,0.038259,119.25,0.151828
126,1975,John Denver,Im Sorry,John Denver,,,,,,,,,,,,,,,,,,,
127,1975,Paul McCartney & Wings,Juniors Farm,Paul McCartney & Wings,,,,,,,,,,,,,,,,,,,
128,1975,Neil Sedaka & Elton John,Bad Blood,Neil Sedaka & Elton John,,,,,,,,,,,,,,,,,,,
129,1975,Disco-Tex,Get Dancin,Disco-Tex,42.8122,-73.941,"Schenectady, NY, US",studio,,,0.0,0.850928,0.63162,230.66077,0.577171,0.428335,7,0.306833,-11.828,1,0.068798,105.255,0.756682
130,1976,Elton John & Kiki Dee,Dont Go Breaking My Heart,Elton John & Kiki Dee,,,,,,,,,,,,,,,,,,,
131,1976,Walter Murphy & The Big Apple Band,A Fifth of Beethoven,Walter Murphy & The Big Apple Band,,,,,,,,,,,,,,,,,,,
132,1976,Diana Ross,Love Hangover,Diana Ross,42.347021,-83.060184,"Detroit, MI ",studio,vocal,,0.0,0.48919,0.506379,459.10621,0.761675,0.003769,1,0.063146,-7.691,1,0.041603,112.374,0.877041
133,1976,The Bellamy Brothers,Let Your Love Flow,The Bellamy Brothers,,,,,,,,,,,,,,,,,,,
134,1976,Donny & Marie Osmond,Deep Purple,Donny & Marie Osmond,,,,,,,,,,,,,,,,,,,
135,1976,Fleetwood Mac,Say You Love Me,Fleetwood Mac,51.5072648,-0.1278328,"London, England",studio,electric,vocal,0.0,0.077369,0.684072,235.02322,0.565374,0.00907,9,0.110451,-15.812,1,0.029709,129.78,0.924165
136,1976,C. W. McCall,Convoy,C. W. McCall,,,,,,,,,,,,,,,,,,,
137,1976,Wing,Baby Face,Wing,,,,,,,,,,,,,,,,,,,
138,1976,Keith Carradine,Im Easy,Keith Carradine,,,,,,,,,,,,,,,,,,,
139,1976,Rick Dees & His Cast of Idiots,Disco Duck,Rick Dees & His Cast of Idiots,,,,,,,,,,,,,,,,,,,
140,1977,Hot,Angel in Your Arms,Hot,,,,,,,,,,,,,,,,,,,
141,1977,ABBA,Dancing Queen,ABBA,59.3333333,18.05,"Stockholm, Sweden ",live,electric,vocal,0.0,0.320262,0.506845,227.81932,0.775787,2.7e-05,9,1.0,-12.22,1,0.047974,107.418,0.509409
142,1977,Peter McCann,Do You Wanna Make Love,Peter McCann,,,,,,,,,,,,,,,,,,,
143,1977,"Bill Conti,  DeEtta Little",Gonna Fly Now,"Bill Conti,  DeEtta Little",,,,,,,,,,,,,,,,,,,
144,1977,Steve Miller Band,Fly Like an Eagle,Steve Miller Band,,,,,,,,,,,,,,,,,,,
145,1977,Johnny Rivers,Swayin to the Music (Slow Dancing),Johnny Rivers,,,,,,,,,,,,,,,,,,,
146,1977,Bob Seger & The Silver Bullet Band,Night Moves,Bob Seger & The Silver Bullet Band,,,,,,,,,,,,,,,,,,,
147,1977,Lord David Dundas,Jeans On,Lord David Dundas,,,,,,,,,,,,,,,,,,,
148,1977,C.J. & Company,Devils Gun,C.J. & Company,,,,,,,,,,,,,,,,,,,
149,1978,John Travolta & Olivia Newton-John,Youre the One That I Want,John Travolta & Olivia Newton-John,,,,,,,,,,,,,,,,,,,
150,1978,Johnny Mathis & Deniece Williams,"Too Much, Too Little, Too Late",Johnny Mathis & Deniece Williams,,,,,,,,,,,,,,,,,,,
151,1978,Roberta Flack & Donny Hathaway,The Closer I Get to You,Roberta Flack & Donny Hathaway,,,,,,,,,,,,,,,,,,,
